name	frequency	wavelength
C0	 16.35	2100.
Cs0	 17.32	1990.
Db0	 17.32	1990.
D0	 18.35	1870.
Ds0	 19.45	1770.
Eb0	 19.45	1770.
E0	 20.60	1670.
F0	 21.83	1580.
Fs0	 23.12	1490.
Gb0	 23.12	1490.
G0	 24.50	1400.
Gs0	 25.96	1320.
Ab0	 25.96	1320.
A0	 27.50	1250.
As0	 29.14	1180.
Bb0	 29.14	1180.
B0	 30.87	1110.
C1	 32.70	1050.
Cs1	 34.65	996.
Db1	 34.65	996.
D1	 36.71	940.
Ds1	 38.89	887.
Eb1	 38.89	887.
E1	 41.20	837.
F1	 43.65	790.
Fs1	 46.25	746.
Gb1	 46.25	746.
G1	 49.00	704.
Gs1	 51.91	665.
Ab1	 51.91	665.
A1	 55.00	627.
As1	 58.27	592.
Bb1	 58.27	592.
B1	 61.74	559.
C2	 65.41	527.
Cs2	 69.30	498.
Db2	 69.30	498.
D2	 73.42	470.
Ds2	 77.78	444.
Eb2	 77.78	444.
E2	 82.41	419.
F2	 87.31	395.
Fs2	 92.50	373.
Gb2	 92.50	373.
G2	 98.00	352.
Gs2	 103.83	332.
Ab2	 103.83	332.
A2	 110.00	314.
As2	 116.54	296.
Bb2	 116.54	296.
B2	 123.47	279.
C3	 130.81	264.
Cs3	 138.59	249.
Db3	 138.59	249.
D3	 146.83	235.
Ds3	 155.56	222.
Eb3	 155.56	222.
E3	 164.81	209.
F3	 174.61	198.
Fs3	 185.00	186.
Gb3	 185.00	186.
G3	 196.00	176.
Gs3	 207.65	166.
Ab3	 207.65	166.
A3	 220.00	157.
As3	 233.08	148.
Bb3	 233.08	148.
B3	 246.94	140.
C4	 261.63	132.
Cs4	 277.18	124.
Db4	 277.18	124.
D4	 293.66	117.
Ds4	 311.13	111.
Eb4	 311.13	111.
E4	 329.63	105.
F4	 349.23	98.8
Fs4	 369.99	93.2
Gb4	 369.99	93.2
G4	 392.00	88.0
Gs4	 415.30	83.1
Ab4	 415.30	83.1
A4	 440.00	78.4
As4	 466.16	74.0
Bb4	 466.16	74.0
B4	 493.88	69.9
C5	 523.25	65.9
Cs5	 554.37	62.2
Db5	 554.37	62.2
D5	 587.33	58.7
Ds5	 622.25	55.4
Eb5	 622.25	55.4
E5	 659.26	52.3
F5	 698.46	49.4
Fs5	 739.99	46.6
Gb5	 739.99	46.6
G5	 783.99	44.0
Gs5	 830.61	41.5
Ab5	 830.61	41.5
A5	 880.00	39.2
As5	 932.33	37.0
Bb5	 932.33	37.0
B5	 987.77	34.9
C6	 1046.50	33.0
Cs6	 1108.73	31.1
Db6	 1108.73	31.1
D6	 1174.66	29.4
Ds6	 1244.51	27.7
Eb6	 1244.51	27.7
E6	 1318.51	26.2
F6	 1396.91	24.7
Fs6	 1479.98	23.3
Gb6	 1479.98	23.3
G6	 1567.98	22.0
Gs6	 1661.22	20.8
Ab6	 1661.22	20.8
A6	 1760.00	19.6
As6	 1864.66	18.5
Bb6	 1864.66	18.5
B6	 1975.53	17.5
C7	 2093.00	16.5
Cs7	 2217.46	15.6
Db7	 2217.46	15.6
D7	 2349.32	14.7
Ds7	 2489.02	13.9
Eb7	 2489.02	13.9
E7	 2637.02	13.1
F7	 2793.83	12.3
Fs7	 2959.96	11.7
Gb7	 2959.96	11.7
G7	 3135.96	11.0
Gs7	 3322.44	10.4
Ab7	 3322.44	10.4
A7	 3520.00	 9.8
As7	 3729.31	 9.3
Bb7	 3729.31	 9.3
B7	 3951.07	 8.7
C8	 4186.01	 8.2
Cs8	 4434.92	 7.8
Db8	 4434.92	 7.8
D8	 4698.64	 7.3
Ds8	 4978.03	 6.9
Eb8	 4978.03	 6.9
